Region / City,Category,Entity / Organization Name,Key Decision Maker & Executive Title,Typical Check Size & Capacity,Verified Contact Email / Direct Application Portal,Website / Investment Portal Link,Custom Strategic Pitch Hook for FlockML
"Abu Dhabi, UAE",Sovereign AI Vehicle,MGX (Abu Dhabi Sovereign AI Fund),Sheikh Tahnoon bin Zayed Al Nahyan (Chairman) & Ahmed Yahia Al Idrissi (CEO),$10M - $100M+ (Sovereign Allocation),contact@mgx.ae,mgx.ae,Target $100B sovereign AI fund backing foundational compute substrates and energy-efficient alternatives to GPU clusters.
"Abu Dhabi, UAE",Sovereign Wealth Fund (SWF),Mubadala Capital / Ventures,Ibrahim Ajami (Head of Ventures) & Khaldoon Al Mubarak (CEO),$5M - $50M (Sovereign Venture Check),info@mubadala.ae,mubadala.com,"Sovereign backing for global developer tools, decentralized edge compute, and foundational software IP."
"Dubai, UAE",Sovereign Tech Fund,Dubai Future District Fund (DFDF),Sharif El-Badawi (CEO),$1M - $5M (Agile Sovereign Seed),info@dfdf.ae,dfdf.ae,"$270M evergreen anchor fund backing sustainable, low-power decentralized software infrastructure."
"Abu Dhabi, UAE",Sovereign Tech Incubator,Hub71 (Abu Dhabi Tech Ecosystem),Ahmad Ali Alwan (CEO),$100k - $500k (Grant + Incentive Package),info@hub71.com,hub71.com,Sovereign relocation package with $250k+ non-dilutive compute subsidies and fast-track Gulf market access.
"Abu Dhabi, UAE",Sovereign AI Vehicle,G42 (AI & Cloud Holding Group),Peng Xiao (Group CEO) & Sheikh Tahnoon,$5M - $50M (Strategic Partnership),info@g42.ai,g42.ai,Integrating browser-native Wasm execution and edge parameter aggregation into UAE's sovereign AI stack.
"Abu Dhabi, UAE",Sovereign Asset Manager,Lunate / Chimera Investment (Royal Group),Syed Basar Shueb & Murtaza Hussain (Managing Partners),$5M - $25M (Multi-Strategy Allocation),info@lunate.com,lunate.com,Multi-billion sovereign vehicle deploying into privacy-preserving software and next-gen AI systems.
"Abu Dhabi, UAE",Sovereign Wealth Fund (SWF),ADQ (Abu Dhabi Developmental Holding Co),Mohamed Hassan Alsuwaidi (Managing Director & CEO),$5M - $30M (Sovereign Check),info@adq.ae,adq.ae,"Smart energy utilities, power grid telemetry, and edge-native ML for municipal infrastructure."
"Abu Dhabi, UAE",Energy Conglomerate VC,ADNOC Decarbonization & Tech Ventures,"Sultan Ahmed Al Jaber (Group CEO, ADNOC)",$3M - $15M (Strategic Energy Check),info@adnoc.ae,adnoc.ae,"Industrial telemetry, low-power edge computing, and energy-neutral AI architectures."
"Dubai, UAE",Royal Family Office,Private Office of Sheikh Saeed bin Ahmed Al Maktoum,Sheikh Saeed bin Ahmed Al Maktoum & Hisham Al Gurg (CEO),$1M - $10M (Royal Family Check),info@theprivateoffice.ae,theprivateoffice.ae,Direct royal family backing for sovereign deep tech and enterprise software expansion in the UAE.
"Dubai, UAE",Royal Family Office / Gov Fund,Dubai Future Foundation (DFF - Office of Sheikh Hamdan),"Khalfan Belhoul (CEO, DFF)",$500k - $5M (Innovation Grant & Seed),info@dubaifuture.gov.ae,dubaifuture.ae,Strategic partnership with Dubai AI Roadmap and zero-server-cost sovereign compute sandbox.
"Dubai, UAE",UHNW Conglomerate Office,Al-Futtaim Group Tech Ventures,Omar Al Futtaim (Vice Chairman & CEO),$1M - $5M (Direct Family Office Check),info@alfuttaim.com,alfuttaim.com,"Retail, automotive telemetry, and edge ML model training across regional enterprise networks."
"Dubai, UAE",UHNW Conglomerate Office,Majid Al Futtaim Tech Ventures (MAF Tech),Ahmed Galal Ismail (CEO),$1M - $5M (Corporate Family Check),info@maf.ae,majidalfuttaim.com,"Consumer edge AI, on-device personalization, and localized private data models."
"Dubai, UAE",UHNW Conglomerate Office,Al Habtoor Group Family Office,Khalaf Ahmad Al Habtoor (Founding Chairman),$1M - $5M (Private Family Check),info@habtoor.com,habtoor.com,"Private family allocation in high-efficiency, capital-light technology infrastructure."
"Dubai, UAE",UHNW Conglomerate Office,Al Ghurair Investment Family Office,Abdul Aziz Al Ghurair (Chairman),$1M - $5M (Direct Family Check),info@al-ghurair.com,al-ghurair.com,"Industrial automation, smart logistics, and decentralized computing infrastructure."
"Dubai, UAE",UHNW Conglomerate Office,DAMAC Group Tech Ventures,Hussain Sajwani (Founding Chairman),$2M - $10M (Direct Family Office Check),info@damacgroup.com,damacgroup.com,Data center decarbonization and decentralized edge computing infrastructure.
"Dubai, UAE",UHNW Conglomerate Office,Al Tayer Group Family Office,Obaid Humaid Al Tayer & Ahmed Al Tayer,$1M - $5M (Private Family Check),info@altayer.com,altayer.com,"Luxury retail, automotive telemetry, and lightweight client-side AI execution."
"Abu Dhabi, UAE",UHNW Conglomerate Office,Al Jaber Group Family Office,Mohamed Al Jaber (Chairman),$500k - $2M (Family Office Signoff),info@aljaber.com,aljaber.com,"Heavy construction, industrial IoT, and edge computing software without cloud latency."
"Dubai, UAE",UHNW Conglomerate Office,Sobha Group Tech Family Office,PNC Menon (Chairman) & Ravi Menon,$1M - $5M (Direct Check),info@sobha.com,sobhadxb.com,Smart building automation and edge IoT neural network deployment.
"Dubai, UAE",Regional Deep-Tech VC,BECO Capital,Dany Farha & Amir Farha (Managing Partners),$1M - $5M (Lead Venture Check),info@becocapital.com,becocapital.com,Gulf-anchored tech VC backing software architectures with massive unit-economic moats.
"Abu Dhabi, UAE",Regional Deep-Tech VC,Shorooq Partners,Mahmoud Adi & Shane Shin (Founding Partners),$1M - $4M (Agile Seed Lead),hello@shorooq.com,shorooq.com,"Premier GCC deep-tech VC investing in WebAssembly, decentralized infrastructure, and edge AI."
"Dubai, UAE",Regional Deep-Tech VC,Wamda Capital,Fadi Ghandour (Executive Chairman) & Khaled Talhouni,$1M - $5M (Venture Check),contact@wamda.com,wamdacapital.com,Institutional backing for high-efficiency enterprise software and developer tooling.
"Dubai, UAE",Regional Deep-Tech VC,VentureSouq (VSQ Global Tech Fund),Suneel Gokhale & Sonia Weymuller (General Partners),$500k - $2.5M (Direct Seed Check),info@venturesouq.com,venturesouq.com,"Thematic investments in decentralized technology, AI infrastructure, and privacy."
